I_nA,L_mm,sigma_LJ_rms_nm
0.5,50,0.8472435195691371
0.5,100,2.396366552014777
0.5,150,4.402406466831666
0.5,200,6.777948156553097
1.0,50,1.3449152542372884
1.0,100,3.803994785569664
1.0,150,6.988384656640189
1.0,200,10.759322033898307
1.5,50,1.7623375392413216
1.5,100,4.984643298948607
1.5,150,9.157374474155636
1.5,200,14.098700313930573
2.0,50,2.1349198893843497
2.0,100,6.0384653242948305
2.0,150,11.09336915550906
2.0,200,17.079359115074798
2.5,50,2.4773550798060566
2.5,100,7.007018305351213
2.5,150,12.87271459983882
2.5,200,19.818840638448453
3.0,50,2.797536463714722
3.0,100,7.912628016437256
3.0,150,14.536425873541395
3.0,200,22.380291709717778
3.5,50,3.100323048939303
3.5,100,8.769037807095733
3.5,150,16.10975112191917
3.5,200,24.802584391514426
4.0,50,3.3889740782765485
4.0,100,9.585466208059108
4.0,150,17.609625867326663
4.0,200,27.111792626212388
4.5,50,3.6658098061329727
4.5,100,10.368475889827074
4.5,150,19.048106505319577
4.5,200,29.32647844906378
5.0,50,3.9325560597828972
5.0,100,11.122948229074947
5.0,150,20.434160697470546
5.0,200,31.460448478263178
5.5,50,4.190540533514744
5.5,100,11.852638512341473
5.5,150,21.77468734567298
5.5,200,33.52432426811795
6.0,50,4.440812325420146
6.0,100,12.560514037125545
6.0,150,23.075137723517365
6.0,200,35.52649860336117
6.5,50,4.6842186320464885
6.5,100,13.248971037121782
6.5,150,24.339913993395907
6.5,200,37.47374905637191
7.0,50,4.921456069327506
7.0,100,13.91997983973268
7.0,150,25.572635877880373
7.0,200,39.371648554620045
7.5,50,5.1531062254600375
7.5,100,14.575185424789627
7.5,150,26.7763253978888
7.5,200,41.2248498036803
8.0,50,5.379661016949152
8.0,100,15.215979142278655
8.0,150,27.953538626560757
8.0,200,43.037288135593215
8.5,50,5.601541225591009
8.5,100,15.843551142845628
8.5,150,29.106462010245796
8.5,200,44.81232980472807
9.0,50,5.819110342570823
9.0,100,16.45892953481841
9.0,150,30.236984304546596
9.0,200,46.55288274056658
9.5,50,6.032685101781327
9.5,100,17.063010176930536
9.5,150,31.34675130704725
9.5,200,48.26148081425062
10.0,50,6.242543626223288
10.0,100,17.656579719821387
10.0,150,32.43720818725198
10.0,200,49.9403490097863
